[START OF SIMULATION]
0x00000000:	bun 106                  	PC=0x000001AC
0x000001AC:	mov sp,32764             	SP=0x00007FFC
0x000001B0:	mov r5,7                 	R5=0x00000007
0x000001B4:	mov r2,472               	R2=0x000001D8
0x000001B8:	call -103                	PC=0x00000020,MEM[0x00007FFC]=0x000001BC
0x00000020:	push r2,r3               	MEM[0x00007FF8]{0x000001D8,0x00000000}={R2,R3}
0x00000024:	l32 r1,[r0+137]          	R1=MEM[0x00000224]=0x8888888B
0x00000028:	l8 r3,[r2+0]             	R3=MEM[0x000001D8]=0x49
0x0000002C:	cmpi r3,0                	SR=0x00000000
0x00000030:	beq 3                    	PC=0x00000034
0x00000034:	s8 [r1+0],r3             	MEM[0x8888888B]=R3=0x49
0x00000038:	addi r2,r2,1             	R2=R2+0x00000001=0x000001D9,SR=0x00000000
0x0000003C:	bun -6                   	PC=0x00000028
0x00000028:	l8 r3,[r2+0]             	R3=MEM[0x000001D9]=0x6E
0x0000002C:	cmpi r3,0                	SR=0x00000000
0x00000030:	beq 3                    	PC=0x00000034
0x00000034:	s8 [r1+0],r3             	MEM[0x8888888B]=R3=0x6E
0x00000038:	addi r2,r2,1             	R2=R2+0x00000001=0x000001DA,SR=0x00000000
0x0000003C:	bun -6                   	PC=0x00000028
0x00000028:	l8 r3,[r2+0]             	R3=MEM[0x000001DA]=0x70
0x0000002C:	cmpi r3,0                	SR=0x00000000
0x00000030:	beq 3                    	PC=0x00000034
0x00000034:	s8 [r1+0],r3             	MEM[0x8888888B]=R3=0x70
0x00000038:	addi r2,r2,1             	R2=R2+0x00000001=0x000001DB,SR=0x00000000
0x0000003C:	bun -6                   	PC=0x00000028
0x00000028:	l8 r3,[r2+0]             	R3=MEM[0x000001DB]=0x75
0x0000002C:	cmpi r3,0                	SR=0x00000000
0x00000030:	beq 3                    	PC=0x00000034
0x00000034:	s8 [r1+0],r3             	MEM[0x8888888B]=R3=0x75
0x00000038:	addi r2,r2,1             	R2=R2+0x00000001=0x000001DC,SR=0x00000000
0x0000003C:	bun -6                   	PC=0x00000028
0x00000028:	l8 r3,[r2+0]             	R3=MEM[0x000001DC]=0x74
0x0000002C:	cmpi r3,0                	SR=0x00000000
0x00000030:	beq 3                    	PC=0x00000034
0x00000034:	s8 [r1+0],r3             	MEM[0x8888888B]=R3=0x74
0x00000038:	addi r2,r2,1             	R2=R2+0x00000001=0x000001DD,SR=0x00000000
0x0000003C:	bun -6                   	PC=0x00000028
0x00000028:	l8 r3,[r2+0]             	R3=MEM[0x000001DD]=0x20
0x0000002C:	cmpi r3,0                	SR=0x00000000
0x00000030:	beq 3                    	PC=0x00000034
0x00000034:	s8 [r1+0],r3             	MEM[0x8888888B]=R3=0x20
0x00000038:	addi r2,r2,1             	R2=R2+0x00000001=0x000001DE,SR=0x00000000
0x0000003C:	bun -6                   	PC=0x00000028
0x00000028:	l8 r3,[r2+0]             	R3=MEM[0x000001DE]=0x6E
0x0000002C:	cmpi r3,0                	SR=0x00000000
0x00000030:	beq 3                    	PC=0x00000034
0x00000034:	s8 [r1+0],r3             	MEM[0x8888888B]=R3=0x6E
0x00000038:	addi r2,r2,1             	R2=R2+0x00000001=0x000001DF,SR=0x00000000
0x0000003C:	bun -6                   	PC=0x00000028
0x00000028:	l8 r3,[r2+0]             	R3=MEM[0x000001DF]=0x75
0x0000002C:	cmpi r3,0                	SR=0x00000000
0x00000030:	beq 3                    	PC=0x00000034
0x00000034:	s8 [r1+0],r3             	MEM[0x8888888B]=R3=0x75
0x00000038:	addi r2,r2,1             	R2=R2+0x00000001=0x000001E0,SR=0x00000000
0x0000003C:	bun -6                   	PC=0x00000028
0x00000028:	l8 r3,[r2+0]             	R3=MEM[0x000001E0]=0x6D
0x0000002C:	cmpi r3,0                	SR=0x00000000
0x00000030:	beq 3                    	PC=0x00000034
0x00000034:	s8 [r1+0],r3             	MEM[0x8888888B]=R3=0x6D
0x00000038:	addi r2,r2,1             	R2=R2+0x00000001=0x000001E1,SR=0x00000000
0x0000003C:	bun -6                   	PC=0x00000028
0x00000028:	l8 r3,[r2+0]             	R3=MEM[0x000001E1]=0x62
0x0000002C:	cmpi r3,0                	SR=0x00000000
0x00000030:	beq 3                    	PC=0x00000034
0x00000034:	s8 [r1+0],r3             	MEM[0x8888888B]=R3=0x62
0x00000038:	addi r2,r2,1             	R2=R2+0x00000001=0x000001E2,SR=0x00000000
0x0000003C:	bun -6                   	PC=0x00000028
0x00000028:	l8 r3,[r2+0]             	R3=MEM[0x000001E2]=0x65
0x0000002C:	cmpi r3,0                	SR=0x00000000
0x00000030:	beq 3                    	PC=0x00000034
0x00000034:	s8 [r1+0],r3             	MEM[0x8888888B]=R3=0x65
0x00000038:	addi r2,r2,1             	R2=R2+0x00000001=0x000001E3,SR=0x00000000
0x0000003C:	bun -6                   	PC=0x00000028
0x00000028:	l8 r3,[r2+0]             	R3=MEM[0x000001E3]=0x72
0x0000002C:	cmpi r3,0                	SR=0x00000000
0x00000030:	beq 3                    	PC=0x00000034
0x00000034:	s8 [r1+0],r3             	MEM[0x8888888B]=R3=0x72
0x00000038:	addi r2,r2,1             	R2=R2+0x00000001=0x000001E4,SR=0x00000000
0x0000003C:	bun -6                   	PC=0x00000028
0x00000028:	l8 r3,[r2+0]             	R3=MEM[0x000001E4]=0x73
0x0000002C:	cmpi r3,0                	SR=0x00000000
0x00000030:	beq 3                    	PC=0x00000034
0x00000034:	s8 [r1+0],r3             	MEM[0x8888888B]=R3=0x73
0x00000038:	addi r2,r2,1             	R2=R2+0x00000001=0x000001E5,SR=0x00000000
0x0000003C:	bun -6                   	PC=0x00000028
0x00000028:	l8 r3,[r2+0]             	R3=MEM[0x000001E5]=0x3A
0x0000002C:	cmpi r3,0                	SR=0x00000000
0x00000030:	beq 3                    	PC=0x00000034
0x00000034:	s8 [r1+0],r3             	MEM[0x8888888B]=R3=0x3A
0x00000038:	addi r2,r2,1             	R2=R2+0x00000001=0x000001E6,SR=0x00000000
0x0000003C:	bun -6                   	PC=0x00000028
0x00000028:	l8 r3,[r2+0]             	R3=MEM[0x000001E6]=0x0A
0x0000002C:	cmpi r3,0                	SR=0x00000000
0x00000030:	beq 3                    	PC=0x00000034
0x00000034:	s8 [r1+0],r3             	MEM[0x8888888B]=R3=0x0A
0x00000038:	addi r2,r2,1             	R2=R2+0x00000001=0x000001E7,SR=0x00000000
0x0000003C:	bun -6                   	PC=0x00000028
0x00000028:	l8 r3,[r2+0]             	R3=MEM[0x000001E7]=0x00
0x0000002C:	cmpi r3,0                	SR=0x00000040
0x00000030:	beq 3                    	PC=0x00000040
0x00000040:	pop r3,r2                	{R3,R2}=MEM[0x00007FF0]{0x00000000,0x000001D8}
0x00000044:	ret                      	PC=MEM[0x00007FFC]=0x000001BC
0x000001BC:	call -19                 	PC=0x00000174,MEM[0x00007FFC]=0x000001C0
0x00000174:	push r1,r2,r3,r4,r5      	MEM[0x00007FF8]{0x8888888B,0x000001D8,0x00000000,0x00000000,0x00000007}={R1,R2,R3,R4,R5}
0x00000178:	l32 r2,[r0+136]          	R2=MEM[0x00000220]=0x8888888A
0x0000017C:	mov r1,516               	R1=0x00000204
0x00000180:	muli r5,r5,4             	R5=R5*0x00000004=0x0000001C,SR=0x00000000
0x00000184:	mov r4,0                 	R4=0x00000000
0x00000188:	cmp r4,r5                	SR=0x00000011
0x0000018C:	beq 5                    	PC=0x00000190
0x00000190:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x0A
0x00000194:	s8 [r1+0],r3             	MEM[0x00000204]=R3=0x0A
0x00000198:	addi r1,r1,1             	R1=R1+0x00000001=0x00000205,SR=0x00000000
0x0000019C:	addi r4,r4,1             	R4=R4+0x00000001=0x00000001,SR=0x00000000
0x000001A0:	bun -7                   	PC=0x00000188
0x00000188:	cmp r4,r5                	SR=0x00000011
0x0000018C:	beq 5                    	PC=0x00000190
0x00000190:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x07
0x00000194:	s8 [r1+0],r3             	MEM[0x00000205]=R3=0x07
0x00000198:	addi r1,r1,1             	R1=R1+0x00000001=0x00000206,SR=0x00000000
0x0000019C:	addi r4,r4,1             	R4=R4+0x00000001=0x00000002,SR=0x00000000
0x000001A0:	bun -7                   	PC=0x00000188
0x00000188:	cmp r4,r5                	SR=0x00000011
0x0000018C:	beq 5                    	PC=0x00000190
0x00000190:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x06
0x00000194:	s8 [r1+0],r3             	MEM[0x00000206]=R3=0x06
0x00000198:	addi r1,r1,1             	R1=R1+0x00000001=0x00000207,SR=0x00000000
0x0000019C:	addi r4,r4,1             	R4=R4+0x00000001=0x00000003,SR=0x00000000
0x000001A0:	bun -7                   	PC=0x00000188
0x00000188:	cmp r4,r5                	SR=0x00000011
0x0000018C:	beq 5                    	PC=0x00000190
0x00000190:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x05
0x00000194:	s8 [r1+0],r3             	MEM[0x00000207]=R3=0x05
0x00000198:	addi r1,r1,1             	R1=R1+0x00000001=0x00000208,SR=0x00000000
0x0000019C:	addi r4,r4,1             	R4=R4+0x00000001=0x00000004,SR=0x00000000
0x000001A0:	bun -7                   	PC=0x00000188
0x00000188:	cmp r4,r5                	SR=0x00000011
0x0000018C:	beq 5                    	PC=0x00000190
0x00000190:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x03
0x00000194:	s8 [r1+0],r3             	MEM[0x00000208]=R3=0x03
0x00000198:	addi r1,r1,1             	R1=R1+0x00000001=0x00000209,SR=0x00000000
0x0000019C:	addi r4,r4,1             	R4=R4+0x00000001=0x00000005,SR=0x00000000
0x000001A0:	bun -7                   	PC=0x00000188
0x00000188:	cmp r4,r5                	SR=0x00000011
0x0000018C:	beq 5                    	PC=0x00000190
0x00000190:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x02
0x00000194:	s8 [r1+0],r3             	MEM[0x00000209]=R3=0x02
0x00000198:	addi r1,r1,1             	R1=R1+0x00000001=0x0000020A,SR=0x00000000
0x0000019C:	addi r4,r4,1             	R4=R4+0x00000001=0x00000006,SR=0x00000000
0x000001A0:	bun -7                   	PC=0x00000188
0x00000188:	cmp r4,r5                	SR=0x00000011
0x0000018C:	beq 5                    	PC=0x00000190
0x00000190:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x01
0x00000194:	s8 [r1+0],r3             	MEM[0x0000020A]=R3=0x01
0x00000198:	addi r1,r1,1             	R1=R1+0x00000001=0x0000020B,SR=0x00000000
0x0000019C:	addi r4,r4,1             	R4=R4+0x00000001=0x00000007,SR=0x00000000
0x000001A0:	bun -7                   	PC=0x00000188
0x00000188:	cmp r4,r5                	SR=0x00000011
0x0000018C:	beq 5                    	PC=0x00000190
0x00000190:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x0B
0x00000194:	s8 [r1+0],r3             	MEM[0x0000020B]=R3=0x0B
0x00000198:	addi r1,r1,1             	R1=R1+0x00000001=0x0000020C,SR=0x00000000
0x0000019C:	addi r4,r4,1             	R4=R4+0x00000001=0x00000008,SR=0x00000000
0x000001A0:	bun -7                   	PC=0x00000188
0x00000188:	cmp r4,r5                	SR=0x00000011
0x0000018C:	beq 5                    	PC=0x00000190
0x00000190:	l8 r3,[r2+0]             	R3=MEM[0x8888888A]=0x16
0x00000194:	s8 [r1+0],r3             	MEM[0x0000020C]=R3=0x16
0x00000198:	addi r1,r1,1             	R1=R1+0x00000001=0x0000020D,SR=0x00000000
